{1=0.26254413, 2=1, 3=-0.9582554, 4=1, 5=1.4174964, 6=1, 7=1, 8=1, 9=1, 10=1, 11=0.1630545, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=1.0358281, 2=3, 3=-0.90896255, 4=6, 5=0.24429408, 6=1, 7=5, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=1.8576018, 14=1, 15=1}
{1=-0.5880683, 2=3, 3=-0.42038238, 4=6, 5=0.24429408, 6=2, 7=2, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=1.0358281, 2=5, 3=-0.25928372, 4=1, 5=1.4174964, 6=2, 7=12, 8=2, 9=2, 10=1, 11=1.9654541, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=-0.6653967, 2=3, 3=0.6810532, 4=2, 5=-0.14677337, 6=5, 7=9, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.88117135, 2=6, 3=3.0007708, 4=2, 5=-0.14677337, 6=2, 7=2, 8=2, 9=1, 10=1, 11=0.2627826, 12=-0.21036936, 13=-0.49745312, 14=1, 15=1}
{1=0.49452934, 2=1, 3=-0.6935891, 4=9, 5=2.5906987, 6=1, 7=2, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=26, 15=2}
{1=-0.4334115, 2=3, 3=1.6706635, 4=2, 5=-0.14677337, 6=1, 7=2, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.8576018, 14=1, 15=1}
{1=0.10788731, 2=5, 3=-0.6557908, 4=2, 5=-0.14677337, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.10788731, 2=3, 3=1.5355275, 4=9, 5=2.5906987, 6=2, 7=4, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=1.190485, 2=3, 3=-0.19885708, 4=2, 5=-0.14677337, 6=4, 7=6, 8=1, 9=2, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.0072014956, 14=1, 15=1}
{1=-0.6653967, 2=4, 3=0.68798506, 4=2, 5=-0.14677337, 6=2, 7=5, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=1.3451418, 2=3, 3=-1.4186794, 4=2, 5=-0.14677337, 6=1, 7=6, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.7265145, 2=3, 3=1.6721747, 4=2, 5=-0.14677337, 6=1, 7=11, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.10788731, 2=6, 3=0.29294038, 4=1, 5=1.4174964, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.5959652, 14=1, 15=1}
{1=1.4224702, 2=1, 3=-0.8029186, 4=4, 5=1.8085638, 6=2, 7=4, 8=2, 9=3, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=4, 15=2}
{1=0.88117135, 2=6, 3=-0.57402277, 4=2, 5=-0.14677337, 6=2, 7=2, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.3436379, 14=1, 15=2}
{1=-0.04676949, 2=3, 3=-0.109962285, 4=2, 5=-0.14677337, 6=2, 7=5, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=30, 15=2}
{1=-0.2014263, 2=3, 3=-1.406171, 4=2, 5=-0.14677337, 6=2, 7=9, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.5880683, 2=5, 3=-0.49376592, 4=6, 5=0.24429408, 6=1, 7=1, 8=6, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=20, 15=1}
{1=0.26254413, 2=1, 3=0.2466601, 4=1, 5=1.4174964, 6=2, 7=2, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=1.4370563, 14=1, 15=2}
{1=-0.2014263, 2=3, 3=-0.24602456, 4=1, 5=1.4174964, 6=2, 7=6, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.12409789, 2=3, 3=-0.5543875, 4=3, 5=-0.9289083, 6=1, 7=5, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=39, 15=1}
{1=1.3451418, 2=3, 3=-0.3355433, 4=2, 5=-0.14677337, 6=2, 7=7, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=-1.1293671, 2=3, 3=-0.0106356535, 4=7, 5=1.0264289, 6=1, 7=1, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=-0.3560831, 2=1, 3=-0.97542405, 4=9, 5=2.5906987, 6=2, 7=2, 8=2, 9=1, 10=1, 11=0.88177013, 12=-0.21036936, 13=1.4370563, 14=1, 15=2}
{1=2.1184258, 2=3, 3=-0.41591716, 4=2, 5=-0.14677337, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.5959652, 14=1, 15=1}
{1=-1.1293671, 2=2, 3=1.3947464, 4=6, 5=0.24429408, 6=1, 7=5, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.66567135, 14=1, 15=1}
{1=1.8091122, 2=3, 3=-0.645086, 4=2, 5=-0.14677337, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=1.1131566, 2=3, 3=-0.8075983, 4=16, 5=-2.8842456, 6=5, 7=4, 8=5, 9=2, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-1.2840239, 2=3, 3=-0.3085083, 4=2, 5=-0.14677337, 6=1, 7=7, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.66567135, 14=1, 15=1}
{1=-0.3560831, 2=3, 3=0.07773268, 4=1, 5=1.4174964, 6=1, 7=10, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.5959652, 14=1, 15=1}
{1=-0.97471035, 2=3, 3=2.1750767, 4=1, 5=1.4174964, 6=2, 7=4, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.7265145, 2=3, 3=-0.048346236, 4=10, 5=0.63536155, 6=2, 7=2, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=-0.04676949, 2=5, 3=0.27758512, 4=1, 5=1.4174964, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.2787547, 2=3, 3=0.28611583, 4=1, 5=1.4174964, 6=1, 7=11, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-1.2066956, 2=3, 3=0.4834724, 4=8, 5=-2.1021106, 6=1, 7=9, 8=6, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=1.8576018, 14=5, 15=1}
{1=0.18521571, 2=3, 3=-1.3827529, 4=2, 5=-0.14677337, 6=2, 7=2, 8=6, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=1.0358281, 2=3, 3=-0.28051785, 4=2, 5=-0.14677337, 6=2, 7=5, 8=3, 9=3, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-2.5160716, 14=12, 15=1}
{1=2.1957543, 2=3, 3=-0.009543724, 4=2, 5=-0.14677337, 6=3, 7=9, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=1.8864406, 2=5, 3=0.5553643, 4=3, 5=-0.9289083, 6=2, 7=7, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-1.5067624, 14=1, 15=1}
{1=-0.8200535, 2=3, 3=-1.353417, 4=1, 5=1.4174964, 6=1, 7=4, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=-1.1293671, 2=3, 3=1.1354034, 4=2, 5=-0.14677337, 6=1, 7=11, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=-0.74272513, 2=3, 3=1.2495588, 4=2, 5=-0.14677337, 6=1, 7=14, 8=6, 9=1, 10=2, 11=-0.14188065, 12=3.9066117, 13=-1.9273078, 14=5, 15=1}
{1=-0.97471035, 2=3, 3=1.0937151, 4=6, 5=0.24429408, 6=1, 7=1, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-1.5067624, 14=1, 15=1}
{1=2.4277394, 2=6, 3=1.5047097, 4=4, 5=1.8085638, 6=2, 7=6, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.8482925, 14=1, 15=2}
{1=-0.8973819, 2=3, 3=0.15738507, 4=2, 5=-0.14677337, 6=3, 7=6, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-0.66567135, 14=1, 15=1}
{1=0.80384296, 2=3, 3=1.4506689, 4=16, 5=-2.8842456, 6=5, 7=9, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=25, 15=1}
{1=0.18521571, 2=1, 3=0.2387046, 4=9, 5=2.5906987, 6=2, 7=4, 8=2, 9=3, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=19, 15=1}
{1=-1.2066956, 2=3, 3=-0.6093155, 4=8, 5=-2.1021106, 6=1, 7=9, 8=6, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.74272513, 2=3, 3=-0.20075822, 4=1, 5=1.4174964, 6=1, 7=4, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.8482925, 14=1, 15=1}
{1=1.7317837, 2=3, 3=-0.0066091623, 4=2, 5=-0.14677337, 6=2, 7=9, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.3560831, 2=1, 3=1.7807827, 4=6, 5=0.24429408, 6=1, 7=5, 8=1, 9=3, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.10788731, 2=1, 3=1.7463479, 4=7, 5=1.0264289, 6=3, 7=12, 8=1, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.0072014956, 14=1, 15=1}
{1=0.7265145, 2=3, 3=-0.61300075, 4=8, 5=-2.1021106, 6=3, 7=9, 8=1, 9=2, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=-0.2014263, 2=3, 3=-0.41895896, 4=2, 5=-0.14677337, 6=1, 7=1, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=-0.2014263, 2=1, 3=1.7732757, 4=4, 5=1.8085638, 6=2, 7=12, 8=2, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.04676949, 2=3, 3=-0.59666085, 4=2, 5=-0.14677337, 6=3, 7=3, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-1.0862168, 14=1, 15=1}
{1=1.8864406, 2=2, 3=3.412994, 4=2, 5=-0.14677337, 6=2, 7=2, 8=2, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-1.1293671, 2=3, 3=-1.0475402, 4=6, 5=0.24429408, 6=1, 7=6, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-1.5067624, 14=1, 15=1}
{1=0.18521571, 2=3, 3=-0.0120298145, 4=13, 5=-1.3199757, 6=2, 7=11, 8=2, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.5959652, 14=1, 15=1}
{1=0.3398725, 2=3, 3=-1.2976604, 4=10, 5=0.63536155, 6=3, 7=11, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.3398725, 2=3, 3=0.43661693, 4=6, 5=0.24429408, 6=2, 7=6, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=0.64918613, 2=2, 3=0.21207906, 4=11, 5=2.1996315, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=2.6986928, 14=1, 15=2}
{1=-0.6653967, 2=3, 3=2.412435, 4=6, 5=0.24429408, 6=2, 7=2, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.8576018, 14=1, 15=1}
{1=-0.12409789, 2=2, 3=-1.4287797, 4=6, 5=0.24429408, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.4370563, 14=1, 15=2}
{1=1.0358281, 2=5, 3=0.9792476, 4=6, 5=0.24429408, 6=2, 7=12, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.10788731, 2=3, 3=0.37082812, 4=6, 5=0.24429408, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=2}
{1=1.2678133, 2=3, 3=0.057249244, 4=13, 5=-1.3199757, 6=2, 7=7, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.66567135, 14=1, 15=2}
{1=0.80384296, 2=3, 3=-0.15349324, 4=6, 5=0.24429408, 6=2, 7=9, 8=2, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.57185775, 2=3, 3=0.87218976, 4=2, 5=-0.14677337, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.80384296, 2=5, 3=0.45149446, 4=1, 5=1.4174964, 6=3, 7=1, 8=1, 9=1, 10=2, 11=13.884435, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=-0.8200535, 2=1, 3=0.18669169, 4=6, 5=0.24429408, 6=2, 7=5, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-1.9273078, 14=1, 15=1}
{1=0.9584997, 2=3, 3=-0.18405753, 4=1, 5=1.4174964, 6=3, 7=1, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.030558914, 2=5, 3=0.40566266, 4=6, 5=0.24429408, 6=3, 7=12, 8=5, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.4370563, 14=1, 15=1}
{1=0.10788731, 2=3, 3=3.5354948, 4=2, 5=-0.14677337, 6=3, 7=11, 8=1, 9=1, 10=1, 11=1.8700742, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=0.49452934, 2=3, 3=2.0248291, 4=4, 5=1.8085638, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=2}
{1=1.8864406, 2=3, 3=0.16993251, 4=7, 5=1.0264289, 6=2, 7=1, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-1.170326, 14=1, 15=1}
{1=0.10788731, 2=6, 3=-0.7443931, 4=6, 5=0.24429408, 6=2, 7=7, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.4370563, 14=1, 15=2}
{1=0.64918613, 2=5, 3=0.7636597, 4=7, 5=1.0264289, 6=3, 7=10, 8=1, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.2787547, 2=3, 3=-0.832196, 4=13, 5=-1.3199757, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.5107399, 2=3, 3=-0.57708406, 4=1, 5=1.4174964, 6=1, 7=1, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=21, 15=1}
{1=0.49452934, 2=5, 3=0.60819614, 4=4, 5=1.8085638, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=2}
{1=-1.4386808, 2=3, 3=-0.77893513, 4=3, 5=-0.9289083, 6=1, 7=3, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-2.1796353, 14=1, 15=1}
{1=0.41720092, 2=3, 3=-0.91142917, 4=15, 5=-0.53784084, 6=2, 7=5, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-2.3478534, 14=1, 15=1}
{1=-0.12409789, 2=3, 3=0.06306962, 4=6, 5=0.24429408, 6=2, 7=2, 8=3, 9=1, 10=2, 11=-0.14188065, 12=4.6390333, 13=0.1754197, 14=1, 15=2}
{1=1.577127, 2=3, 3=0.037243526, 4=13, 5=-1.3199757, 6=5, 7=5, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-0.49745312, 14=1, 15=1}
{1=-0.5880683, 2=3, 3=-0.54608107, 4=6, 5=0.24429408, 6=1, 7=1, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.5880683, 2=2, 3=0.7719954, 4=3, 5=-0.9289083, 6=1, 7=6, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-1.2840239, 2=3, 3=-0.691961, 4=8, 5=-2.1021106, 6=1, 7=7, 8=5, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-1.0862168, 14=25, 15=1}
{1=1.0358281, 2=4, 3=-0.6379202, 4=6, 5=0.24429408, 6=2, 7=10, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=0.030558914, 2=2, 3=-0.39376658, 4=6, 5=0.24429408, 6=2, 7=5, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=-0.8200535, 2=3, 3=1.1935194, 4=6, 5=0.24429408, 6=2, 7=7, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=0.49452934, 2=3, 3=-0.08837717, 4=1, 5=1.4174964, 6=3, 7=4, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.88117135, 2=2, 3=0.3691415, 4=11, 5=2.1996315, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=4.8703246, 13=1.0165107, 14=1, 15=2}
{1=-0.74272513, 2=3, 3=0.98292315, 4=6, 5=0.24429408, 6=2, 7=12, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.04676949, 2=3, 3=0.49706304, 4=6, 5=0.24429408, 6=2, 7=2, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.6893836, 14=1, 15=1}
{1=0.10788731, 2=3, 3=-1.4115331, 4=2, 5=-0.14677337, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.5959652, 14=1, 15=1}
{1=0.26254413, 2=5, 3=-0.57656735, 4=2, 5=-0.14677337, 6=1, 7=12, 8=4, 9=4, 10=1, 11=0.5103496, 12=-0.21036936, 13=0.8482925, 14=1, 15=1}
{1=0.49452934, 2=3, 3=-0.37846008, 4=2, 5=-0.14677337, 6=2, 7=2, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=2}
{1=0.41720092, 2=3, 3=0.036804803, 4=6, 5=0.24429408, 6=3, 7=5, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-0.16101672, 14=1, 15=2}
{1=-0.97471035, 2=3, 3=-0.70710176, 4=6, 5=0.24429408, 6=3, 7=5, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-1.170326, 14=1, 15=1}
{1=-0.3560831, 2=4, 3=1.7094173, 4=2, 5=-0.14677337, 6=2, 7=10, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.030558914, 2=5, 3=0.14971231, 4=6, 5=0.24429408, 6=2, 7=12, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.6052744, 14=1, 15=2}
{1=-1.2066956, 2=3, 3=-0.26416814, 4=6, 5=0.24429408, 6=1, 7=4, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-1.0862168, 14=1, 15=1}
{1=0.030558914, 2=3, 3=-0.4623437, 4=6, 5=0.24429408, 6=1, 7=9, 8=5, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.5959652, 14=1, 15=1}
{1=1.1131566, 2=3, 3=-0.30655843, 4=2, 5=-0.14677337, 6=2, 7=9, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=2}
{1=0.10788731, 2=3, 3=-0.031850293, 4=2, 5=-0.14677337, 6=1, 7=9, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.8200535, 2=3, 3=-0.714911, 4=1, 5=1.4174964, 6=1, 7=8, 8=4, 9=1, 10=1, 11=3.7614014, 12=-0.21036936, 13=1.0165107, 14=1, 15=2}
{1=0.26254413, 2=3, 3=-1.2652436, 4=6, 5=0.24429408, 6=3, 7=5, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=1.8576018, 14=1, 15=1}
{1=-0.2787547, 2=3, 3=0.220795, 4=2, 5=-0.14677337, 6=2, 7=8, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=1.8091122, 2=3, 3=0.1763671, 4=6, 5=0.24429408, 6=7, 7=1, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=-0.5107399, 2=3, 3=0.5617209, 4=1, 5=1.4174964, 6=2, 7=11, 8=2, 9=1, 10=1, 11=0.33656177, 12=-0.21036936, 13=0.5959652, 14=1, 15=1}
{1=1.1131566, 2=3, 3=1.9785585, 4=2, 5=-0.14677337, 6=2, 7=7, 8=2, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.49452934, 2=3, 3=-1.4093102, 4=10, 5=0.63536155, 6=2, 7=6, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.076907605, 14=1, 15=1}
{1=-0.2787547, 2=3, 3=-1.0165176, 4=6, 5=0.24429408, 6=3, 7=4, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.9584997, 2=3, 3=0.1849173, 4=7, 5=1.0264289, 6=2, 7=6, 8=2, 9=1, 10=1, 11=-0.14188065, 12=4.677582, 13=0.1754197, 14=1, 15=2}
{1=-1.2066956, 2=3, 3=-1.3769715, 4=2, 5=-0.14677337, 6=2, 7=11, 8=2, 9=1, 10=1, 11=0.38845965, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=1.1131566, 2=2, 3=-1.3583307, 4=13, 5=-1.3199757, 6=3, 7=11, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.5959652, 14=1, 15=1}
{1=-1.3613523, 2=3, 3=-0.57791275, 4=6, 5=0.24429408, 6=1, 7=11, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.66567135, 14=1, 15=1}
{1=1.8864406, 2=3, 3=-1.2055385, 4=4, 5=1.8085638, 6=1, 7=4, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=0.49452934, 2=5, 3=0.49975386, 4=4, 5=1.8085638, 6=1, 7=4, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-1.3385441, 14=1, 15=1}
{1=1.0358281, 2=3, 3=-0.8949137, 4=2, 5=-0.14677337, 6=3, 7=5, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=-0.04676949, 2=6, 3=-0.914042, 4=6, 5=0.24429408, 6=2, 7=6, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.4334115, 2=2, 3=0.0037056764, 4=7, 5=1.0264289, 6=2, 7=6, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.8576018, 14=11, 15=1}
{1=1.8091122, 2=3, 3=-0.5887736, 4=6, 5=0.24429408, 6=2, 7=2, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=-0.8973819, 2=6, 3=3.0927854, 4=2, 5=-0.14677337, 6=1, 7=5, 8=1, 9=2, 10=1, 11=1.7587042, 12=-0.21036936, 13=1.0165107, 14=1, 15=2}
{1=1.4997985, 2=3, 3=1.7462894, 4=7, 5=1.0264289, 6=3, 7=1, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-1.2840239, 2=3, 3=2.1244578, 4=2, 5=-0.14677337, 6=1, 7=1, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-1.5067624, 14=1, 15=1}
{1=0.26254413, 2=3, 3=-0.74937505, 4=2, 5=-0.14677337, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.9584997, 2=3, 3=-0.33461714, 4=6, 5=0.24429408, 6=3, 7=2, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.64918613, 2=3, 3=-0.032425508, 4=1, 5=1.4174964, 6=2, 7=4, 8=2, 9=1, 10=1, 11=0.9364733, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=-1.1293671, 2=3, 3=0.49078444, 4=6, 5=0.24429408, 6=1, 7=3, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.66567135, 14=1, 15=1}
{1=-0.97471035, 2=3, 3=2.1332324, 4=1, 5=1.4174964, 6=1, 7=10, 8=4, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-1.0520387, 2=3, 3=0.53894633, 4=6, 5=0.24429408, 6=1, 7=5, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.66567135, 14=1, 15=1}
